,Abfall,weight,Jahr
2389,Getrennt erfasste organische Abfälle,22327.0,2020
6155,Getrennt erfasste organische Abfälle,21584.0,2019
9921,Getrennt erfasste organische Abfälle,21746.0,2018
13687,Getrennt erfasste organische Abfälle,21437.0,2017
17453,Getrennt erfasste organische Abfälle,20578.0,2016
21219,Getrennt erfasste organische Abfälle,20197.0,2015
24985,Getrennt erfasste organische Abfälle,22176.0,2014
28751,Getrennt erfasste organische Abfälle,19372.0,2013
32517,Getrennt erfasste organische Abfälle,20536.0,2012
36283,Getrennt erfasste organische Abfälle,20934.0,2011
40049,Getrennt erfasste organische Abfälle,18141.0,2010
43815,Getrennt erfasste organische Abfälle,21750.0,2009
47581,Getrennt erfasste organische Abfälle,24152.0,2008
51347,Getrennt erfasste organische Abfälle,21165.0,2007
55113,Getrennt erfasste organische Abfälle,21163.0,2006
58879,Getrennt erfasste organische Abfälle,18662.0,2005
62645,Getrennt erfasste organische Abfälle,19564.0,2004
